NinjaScript File,Error,Code,Line,Column,
RockitORAcceptanceSignal.cs,The best overloaded method match for 'NinjaTrader.NinjaScript.IndicatorBase.CacheIndicator<NinjaTrader.NinjaScript.Indicators.RockitORAcceptanceSignal>(NinjaTrader.NinjaScript.Indicators.RockitORAcceptanceSignal NinjaTrader.NinjaScript.ISeries<double> ref NinjaTrader.NinjaScript.Indicators.RockitORAcceptanceSignal[])' has some invalid arguments,CS1502,556,11,
RockitORAcceptanceSignal.cs,Argument 2: cannot convert from 'ref NinjaTrader.NinjaScript.Indicators.RockitORAcceptanceSignal[]' to 'NinjaTrader.NinjaScript.ISeries<double>',CS1503,556,404,
RockitORAcceptanceSignal.cs,Argument 3: cannot convert from 'NinjaTrader.NinjaScript.ISeries<double>' to 'ref NinjaTrader.NinjaScript.Indicators.RockitORAcceptanceSignal[]',CS1503,556,435,
RockitORAcceptanceSignal.cs,The name 'TextAlignment' does not exist in the current context,CS0103,342,62,
RockitORAcceptanceSignal.cs,The name 'TextAlignment' does not exist in the current context,CS0103,349,56,
RockitORAcceptanceSignal.cs,The name 'TextAlignment' does not exist in the current context,CS0103,352,54,
RockitORAcceptanceSignal.cs,The name 'TextAlignment' does not exist in the current context,CS0103,355,56,
RockitORAcceptanceSignal.cs,The name 'TextAlignment' does not exist in the current context,CS0103,368,79,
RockitORAcceptanceSignal.cs,The name 'TextAlignment' does not exist in the current context,CS0103,375,79,
RockitORAcceptanceSignal.cs,The name 'TextAlignment' does not exist in the current context,CS0103,383,58,
RockitORAcceptanceSignal.cs,The name 'TextAlignment' does not exist in the current context,CS0103,395,43,
RockitORAcceptanceSignal.cs,Operator '<' cannot be applied to operands of type 'int' and 'method group',CS0019,441,25,
