EntryTime,ExitTime,Direction,Contracts,EntryPrice,ExitPrice,NetPnL,Strategy,Setup
2025-11-18 11:02:00,2025-11-18 11:08:00,SHORT,5,24651.5,24686.75,-363.7,Morph to Trend,MORPH_TO_TREND_BEAR
2025-11-18 11:04:00,2025-11-18 13:00:00,SHORT,1,24662.5,25009.5,-696.24,P-Day,P_DAY_RESOLUTION_SHORT
2025-11-19 12:37:00,2025-11-19 12:42:00,SHORT,6,24796.5,24829.25,-406.44,Morph to Trend,MORPH_TO_TREND_BEAR
2025-11-19 12:36:00,2025-11-19 12:43:00,SHORT,6,24808.75,24839.25,-379.44,PM Morph,PM_MORPH_BEAR
2025-11-19 12:37:00,2025-11-19 15:16:00,SHORT,1,24796.5,24980.75,-370.74,P-Day,P_DAY_RESOLUTION_SHORT
2025-11-20 11:03:00,2025-11-20 11:17:00,SHORT,9,25381.75,25232.25,2670.84,Morph to Trend,MORPH_TO_TREND_BEAR
2025-11-20 11:02:00,2025-11-20 11:38:00,SHORT,1,25382.5,25075.5,611.76,P-Day,P_DAY_RESOLUTION_SHORT
2025-11-20 11:23:00,2025-11-20 12:12:00,SHORT,1,25164.75,24704.0,919.26,Super Trend Bear,IBL_BREAKDOWN_SUPER
2025-11-20 12:36:00,2025-11-20 12:38:00,SHORT,6,24591.25,24620.5,-364.44,PM Morph,PM_MORPH_BEAR
2025-11-21 11:03:00,2025-11-21 11:09:00,SHORT,6,24253.5,24284.0,-379.44,Morph to Trend,MORPH_TO_TREND_BEAR
2025-11-21 10:36:00,2025-11-21 11:59:00,SHORT,1,24232.0,24608.9,-756.04,P-Day,P_DAY_RESOLUTION_SHORT
2025-11-21 12:37:00,2025-11-21 12:39:00,LONG,9,24660.5,24638.25,-420.66,PM Morph,PM_MORPH_BULL
2025-11-24 11:01:00,2025-11-24 13:13:00,LONG,9,25047.25,25196.75,2670.84,Morph to Trend,MORPH_TO_TREND_BULL
2025-11-24 12:38:00,2025-11-24 14:54:00,LONG,18,25150.0,25149.75,-49.32,PM Morph,PM_MORPH_BULL
2025-11-24 10:40:00,2025-11-24 15:30:00,LONG,1,25049.75,25192.75,283.76,P-Day,P_DAY_RESOLUTION_LONG
2025-11-25 11:54:00,2025-11-25 12:38:00,LONG,9,25157.75,25307.25,2670.84,Morph to Trend,MORPH_TO_TREND_BULL
2025-11-25 12:34:00,2025-11-25 12:49:00,LONG,8,25287.25,25263.25,-401.92,PM Morph,PM_MORPH_BULL
2025-11-25 11:52:00,2025-11-25 15:30:00,LONG,1,25138.25,25304.0,329.26,P-Day,P_DAY_RESOLUTION_LONG
2025-11-26 11:06:00,2025-11-26 13:10:00,LONG,1,25552.0,25551.75,-2.74,P-Day,P_DAY_RESOLUTION_LONG
2025-11-26 11:09:00,2025-11-26 13:10:00,LONG,8,25562.0,25561.75,-21.92,Morph to Trend,MORPH_TO_TREND_BULL
2025-11-28 11:09:00,2025-11-28 13:15:00,LONG,1,25686.0,25740.75,107.26,P-Day,P_DAY_RESOLUTION_LONG
2025-11-28 12:56:00,2025-11-28 13:15:00,LONG,10,25705.25,25740.75,687.6,PM Morph,PM_MORPH_BULL
2025-11-28 12:56:00,2025-11-28 13:15:00,LONG,7,25705.25,25740.75,481.32,Morph to Trend,MORPH_TO_TREND_BULL
2025-12-01 11:00:00,2025-12-01 11:07:00,LONG,8,25669.5,25645.25,-405.92,Morph to Trend,MORPH_TO_TREND_BULL
2025-12-01 12:45:00,2025-12-01 12:56:00,LONG,8,25738.0,25713.75,-405.92,PM Morph,PM_MORPH_BULL
2025-12-01 10:55:00,2025-12-01 14:24:00,LONG,1,25666.5,25666.25,-2.74,P-Day,P_DAY_RESOLUTION_LONG
2025-12-02 11:29:00,2025-12-02 11:31:00,SHORT,9,25707.25,25728.0,-393.66,Morph to Trend,MORPH_TO_TREND_BEAR
2025-12-02 10:56:00,2025-12-02 11:32:00,LONG,1,25912.25,25690.8,-445.14,P-Day,P_DAY_RESOLUTION_LONG
2025-12-03 11:05:00,2025-12-03 11:07:00,LONG,8,25853.5,25830.75,-381.92,Morph to Trend,MORPH_TO_TREND_BULL
2025-12-03 13:41:00,2025-12-03 13:42:00,LONG,13,25895.0,25894.75,-35.62,PM Morph,PM_MORPH_BULL
2025-12-03 10:37:00,2025-12-03 15:30:00,LONG,1,25853.0,25938.5,168.76,P-Day,P_DAY_RESOLUTION_LONG
2025-12-04 14:24:00,2025-12-04 14:25:00,SHORT,15,25758.0,25771.75,-446.1,PM Morph,PM_MORPH_BEAR
2025-12-04 14:23:00,2025-12-04 14:26:00,SHORT,9,25755.5,25777.25,-411.66,Morph to Trend,MORPH_TO_TREND_BEAR
2025-12-04 14:23:00,2025-12-04 15:30:00,SHORT,1,25755.5,25820.5,-132.24,P-Day,P_DAY_RESOLUTION_SHORT
2025-12-08 11:02:00,2025-12-08 11:11:00,SHORT,8,25890.25,25913.75,-393.92,Morph to Trend,MORPH_TO_TREND_BEAR
2025-12-08 11:04:00,2025-12-08 13:30:00,SHORT,1,25890.5,25890.75,-2.74,P-Day,P_DAY_RESOLUTION_SHORT
2025-12-08 13:59:00,2025-12-08 14:21:00,SHORT,6,25830.25,25860.5,-376.44,PM Morph,PM_MORPH_BEAR
2025-12-09 11:02:00,2025-12-09 11:45:00,LONG,8,25951.25,25926.25,-417.92,Morph to Trend,MORPH_TO_TREND_BULL
2025-12-09 10:46:00,2025-12-09 15:30:00,LONG,1,25931.5,25953.25,41.26,P-Day,P_DAY_RESOLUTION_LONG
